region,sex,age,marst,educ,incwage
mountain division,female,56,"married, spouse present",4 years of college,0
mountain division,male,38,divorced,4 years of college,490000
mountain division,male,41,"married, spouse present",grade 12,18000
mountain division,female,38,"married, spouse present",4 years of college,38500
mountain division,male,42,divorced,4 years of college,10000
mountain division,male,63,"married, spouse present",grade 12,0
mountain division,female,62,"married, spouse present",1 year of college,0
mountain division,male,27,"married, spouse present",1 year of college,46000
mountain division,female,25,"married, spouse present",2 years of college,33000
mountain division,male,62,"married, spouse present",grade 12,0
mountain division,female,53,"married, spouse present",grade 12,4800
mountain division,female,40,divorced,grade 12,56000
mountain division,male,22,never married/single,grade 11,0
mountain division,male,18,never married/single,grade 12,0
mountain division,male,59,"married, spouse present",4 years of college,60000
mountain division,female,59,"married, spouse present",2 years of college,45000
mountain division,male,40,"married, spouse present",1 year of college,90000
mountain division,female,37,"married, spouse present",grade 11,0
mountain division,male,63,"married, spouse present",4 years of college,135000
mountain division,female,53,"married, spouse present",grade 12,0
mountain division,female,56,widowed,grade 9,0
mountain division,male,39,never married/single,grade 9,11400
mountain division,male,32,"married, spouse absent",1 year of college,0
mountain division,female,46,divorced,grade 12,42000
mountain division,male,40,divorced,grade 12,0
mountain division,male,49,"married, spouse present",4 years of college,127000
mountain division,female,45,"married, spouse present",5+ years of college,100000
mountain division,female,51,"married, spouse present",grade 12,50000
mountain division,male,58,"married, spouse present",grade 12,0
mountain division,female,64,never married/single,2 years of college,67000
mountain division,male,29,never married/single,4 years of college,0
mountain division,male,31,never married/single,4 years of college,100000
mountain division,male,35,"married, spouse present",4 years of college,93000
mountain division,female,35,"married, spouse present",5+ years of college,57000
mountain division,male,47,"married, spouse present",5+ years of college,163000
mountain division,female,45,"married, spouse present",5+ years of college,73000
mountain division,male,61,"married, spouse present",grade 12,0
mountain division,female,54,"married, spouse present",1 year of college,0
mountain division,male,64,"married, spouse present",5+ years of college,150000
mountain division,female,63,"married, spouse present",1 year of college,0
mountain division,female,62,"married, spouse present",1 year of college,0
mountain division,female,49,"married, spouse present",grade 12,54000
mountain division,male,54,"married, spouse present",grade 12,39000
mountain division,male,26,never married/single,grade 12,21100
mountain division,female,48,"married, spouse present",4 years of college,75000
mountain division,female,30,separated,grade 12,20000
mountain division,male,27,never married/single,grade 12,25000
mountain division,male,51,"married, spouse present",grade 12,55000
mountain division,male,36,"married, spouse present",5+ years of college,80000
mountain division,female,35,"married, spouse present",5+ years of college,75000
mountain division,male,29,never married/single,"grade 5, 6, 7, or 8",30000
mountain division,male,41,never married/single,n/a or no schooling,30000
mountain division,male,55,divorced,4 years of college,150000
mountain division,female,18,never married/single,grade 11,0
mountain division,female,55,divorced,5+ years of college,40000
mountain division,female,55,widowed,grade 12,0
mountain division,male,31,"married, spouse present",grade 12,9000
mountain division,female,27,"married, spouse present",grade 12,2800
mountain division,male,53,"married, spouse present",4 years of college,108000
mountain division,female,49,"married, spouse present",4 years of college,103000
mountain division,male,20,never married/single,1 year of college,3900
mountain division,female,63,"married, spouse present",grade 12,60000
mountain division,male,43,divorced,2 years of college,14000
mountain division,male,19,never married/single,grade 12,5000
mountain division,male,46,"married, spouse present",1 year of college,120000
mountain division,female,41,"married, spouse present",1 year of college,14000
mountain division,female,64,divorced,grade 12,45000
mountain division,male,43,never married/single,grade 12,4000
mountain division,male,39,never married/single,grade 12,40000
mountain division,female,58,"married, spouse present",5+ years of college,150000
mountain division,female,58,"married, spouse present",5+ years of college,50000
mountain division,male,48,widowed,grade 12,6800
